"id", "object_id", "office_id", "description", "region", "address1", "address2", "city", "zip_code", "state_code", "country_code", "latitude", "longitude", "created_at", "updated_at"
113,'c:126',123,NULL,'SF Bay','2980 Bowers Ave.',NULL,'Santa Clara','95051','CA','USA',37.3749980000,-121.9778530000,NULL,NULL
114,'c:127',124,NULL,'SF Bay',NULL,NULL,'Sunnyvale','94086','CA','USA',37.3696500000,-122.0242100000,NULL,NULL
115,'c:128',125,NULL,'Seattle','200 West Thomas Street, Suite 300',NULL,'Seattle','98119','WA','USA',47.6209820000,-122.3593970000,NULL,NULL
116,'c:130',127,'Headquarters','New York','26 W 17th Street','2nd Floor','New York','10011','NY','USA',40.7516611000,-73.9843328000,NULL,NULL
117,'c:131',128,'','SF Bay','585 Broadway','Suite A','Redwood City','94063','CA','USA',37.4846190000,-122.2068930000,NULL,NULL
118,'c:132',129,'','London','1-11 Bache\'s Street',NULL,'London','N1 6DL',NULL,'GBR',51.5277540000,-0.0857470000,NULL,NULL
119,'c:133',130,'','Los Angeles',NULL,NULL,'Santa Monica','90401','CA','USA',34.0126379000,-118.4951550000,NULL,NULL
120,'c:134',131,NULL,'Seattle','2212 Queen Anne Ave. N #282',NULL,'Seattle','98109','WA','USA',47.6384560000,-122.3569650000,NULL,NULL
121,'c:135',132,NULL,'SF Bay','795 Folsom St','1st Floor','San Francisco','94114','CA','USA',37.7581130000,-122.4146890000,NULL,NULL
122,'c:136',133,'','SF Bay','489 Clementina St.',NULL,'San Francisco','94103','CA','USA',37.7791761000,-122.4058887000,NULL,NULL
123,'c:137',134,NULL,'SF Bay','2175 Monarch St',NULL,'Alameda','94501','CA','USA',37.7831070000,-122.3086250000,NULL,NULL
124,'c:138',135,'Paris','Paris','114, rue Cardinet',NULL,'Paris','75017',NULL,'FRA',48.8708060000,2.3466800000,NULL,NULL
125,'c:139',136,NULL,'SF Bay','199 Fremont St.','12th Floor','San Francisco','94105','CA','USA',37.7892680000,-122.3951840000,NULL,NULL
126,'c:140',137,'','SF Bay','301 Brannan Street','6th Floor','San Francisco','94107','CA','USA',37.7814270000,-122.3921440000,NULL,NULL
127,'c:141',138,NULL,'SF Bay','180 Townsend St., Third Floor',NULL,'San Francisco','94107','CA','USA',NULL,NULL,NULL,NUL
